ILL,sample,umi_underspike,umi_overspike,umi_over_pctg,total_reads,sample_type,cut,check1_total_reads,check2_umi_overspike,check3_pct_overspike,checks_passed,is_empty
138,s35-B3,119627,2337,0.019161391886130332,11839991,sample,True,True,True,True,3,False
138,s35-B8,135635,1228,0.008972476125760798,17846606,sample,True,True,True,True,3,False
138,s36-B9,112913,11,9.741064786936347e-05,8560805,sample,True,True,False,False,1,True
138,s37-B10,292803,15217,0.04940263619245504,17800698,sample,True,True,True,True,3,False
138,s37-C3,254207,1545,0.006041008476962057,37994480,sample,True,True,True,True,3,False
138,s38-B11,320882,14760,0.043975426198151604,20247855,sample,True,True,True,True,3,False
138,s39-C1,417686,78363,0.15797431302149587,16146891,sample,True,True,True,True,3,False
138,s39-D3,202182,941,0.004632660998508293,35436329,sample,True,True,True,True,3,False
138,s4-D12,142502,17,0.0001192823413018615,5429723,sample,True,True,False,False,1,True
138,s40-C2,278721,27127,0.08869438413852633,14391133,sample,True,True,True,True,3,False
138,s41-C3,333376,4160,0.012324611300720515,14768397,sample,True,True,True,True,3,False
138,s41-E3,410635,3776,0.009111727246622315,31694205,sample,True,True,True,True,3,False
138,s42-C4,249202,16432,0.06185955111167998,18625406,sample,True,True,True,True,3,False
138,s43-C5,156954,1923,0.01210370286448007,15614195,sample,True,True,True,True,3,False
138,s43-F3,428738,10669,0.02428045069832752,38718546,sample,True,True,True,True,3,False
138,s44-C7,71161,617,0.00859594861935412,9949508,sample,True,True,True,True,3,False
138,s45-C8,117234,1725,0.014500794391344917,19461203,sample,True,True,True,True,3,False
138,s45-G3,318981,11257,0.034087536867350214,32684697,sample,True,True,True,True,3,False
138,s46-C9,101500,966,0.009427517420412625,17024529,sample,True,True,True,True,3,False
138,s47-A4,578719,6855,0.011706462377086415,39393335,sample,True,True,True,True,3,False
138,s47-C10,253044,15643,0.05822015951646339,17134633,sample,True,True,True,True,3,False
138,s48-C11,304332,14729,0.04616358627347122,20986821,sample,True,True,True,True,3,False
138,s49-B4,150916,346,0.002287421824384181,24104510,sample,True,True,True,False,2,False
138,s49-D1,505052,76865,0.13208928421063484,19332238,sample,True,True,True,True,3,False
138,s5-C1,216296,2624,0.011986113648821487,15656386,sample,True,True,True,True,3,False
138,s5-E12,33768,254,0.007465757451061078,761728,sample,False,False,True,True,2,False
138,s50-D3,317383,69602,0.17985710040440844,16641845,sample,True,True,True,True,3,False
138,s51-C4,292379,888,0.003027957458561652,36187928,sample,True,True,True,False,2,False
138,s51-D4,323323,10175,0.030509928095520812,16933371,sample,True,True,True,True,3,False
138,s52-D5,213664,15509,0.0676737661068276,17862942,sample,True,True,True,True,3,False
138,s53-D4,510140,4016,0.00781085896109352,35878625,sample,True,True,True,True,3,False
138,s53-D6,169296,3100,0.01798185572751108,18435801,sample,True,True,True,True,3,False
138,s54-D7,76819,1086,0.013940055195430331,12440784,sample,True,True,True,True,3,False
138,s55-D8,116313,137,0.001176470588235294,18756699,sample,True,True,False,False,1,True
138,s55-E4,355461,1564,0.0043806456130523076,30234995,sample,True,True,True,True,3,False
138,s56-D9,98850,487,0.004902503598860445,14433845,sample,True,True,True,True,3,False
