project	sample_id	sample_type	date_collected	time_point_h	cage_id	mouse_type	pretreatment	mouse_id	gender	gavage_dose_200ul	strain_bcs	strains	tube_type	tube_weight_empty	tube_weight_full	stool_weight_mg	cfu_g_stool	cfu_incubation_time	dna_conc_ng_ul	dna_conc_ng_ul
P4C3T2	s39	Cecum DNA		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s40	Cecum CFU		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s41	Cecum DNA		24 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s42	Cecum CFU		24 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s43	Cecum DNA		24 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s44	Cecum CFU		24 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s45	Cecum DNA		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s46	Cecum CFU		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s47	Cecum DNA		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s48	Cecum CFU		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s49	Pr. Colon DNA		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s50	Pr. Colon CFU		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s51	Pr. Colon DNA		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s52	Pr. Colon CFU		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s53	Pr. Colon DNA		24 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s54	Pr. Colon CFU		24 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s55	Pr. Colon DNA		24 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s56	Pr. Colon CFU		24 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s57	Pr. Colon DNA		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s58	Pr. Colon CFU		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s59	Pr. Colon DNA		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s60	Pr. Colon CFU		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s61	Gavage DNA		24 h	gavage	NA	NA	NA	NA	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s62	Gavage DNA		24 h	gavage	NA	NA	NA	NA	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s63	Gavage DNA		24 h	gavage	NA	NA	NA	NA	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s64	Gavage DNA		24 h	gavage	NA	NA	NA	NA	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s65	Gavage DNA		24 h	gavage	NA	NA	NA	NA	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s66	Gavage DNA		24 h	gavage	NA	NA	NA	NA	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
